Timestamp,Stress Probability (%),Key Pressed,Latency (ms)
13:05:2025:23:13:52,0.11%,Space,142.114
13:05:2025:23:13:52,0.69%,Space,46.445
13:05:2025:23:13:52,0.56%,Space,49.859
13:05:2025:23:13:52,0.61%,Space,46.746
13:05:2025:23:13:52,0.00%,Space,47.554
13:05:2025:23:13:52,3.99%,Space,47.364
13:05:2025:23:13:52,91.71%,W,49.033
13:05:2025:23:13:52,25.73%,Space,46.255
13:05:2025:23:13:52,0.00%,Space,44.038
13:05:2025:23:13:52,0.18%,Space,45.371
13:05:2025:23:13:52,0.09%,Space,50.099
13:05:2025:23:13:52,0.70%,Space,48.931
13:05:2025:23:13:52,0.57%,Space,45.282
13:05:2025:23:13:52,0.58%,Space,48.512
13:05:2025:23:13:52,0.00%,Space,46.420
13:05:2025:23:13:52,0.00%,Space,45.594
13:05:2025:23:13:52,73.16%,W,46.596
13:05:2025:23:13:52,47.94%,Space,48.407
13:05:2025:23:13:52,0.00%,Space,46.029
13:05:2025:23:13:52,0.12%,Space,44.519
13:05:2025:23:13:52,0.09%,Space,47.559
13:05:2025:23:13:52,0.65%,Space,47.695
13:05:2025:23:13:52,0.61%,Space,45.922
13:05:2025:23:13:52,0.57%,Space,47.073
13:05:2025:23:13:52,0.00%,Space,48.923
13:05:2025:23:13:52,0.00%,Space,53.105
13:05:2025:23:13:52,27.15%,Space,46.445
13:05:2025:23:13:52,67.96%,W,45.105
13:05:2025:23:13:52,0.01%,Space,47.947
13:05:2025:23:13:52,0.04%,Space,50.434
13:05:2025:23:13:52,0.09%,Space,45.534
13:05:2025:23:13:52,0.49%,Space,49.026
13:05:2025:23:13:52,0.64%,Space,48.582
13:05:2025:23:13:52,0.54%,Space,50.965
13:05:2025:23:13:52,0.64%,Space,45.383
13:05:2025:23:13:52,0.00%,Space,51.829
13:05:2025:23:13:52,32.64%,Space,51.244
13:05:2025:23:13:52,79.42%,W,64.177
13:05:2025:23:13:52,45.74%,Space,51.479
13:05:2025:23:13:52,0.01%,Space,47.431
13:05:2025:23:13:52,0.09%,Space,46.521
