Timestamp,Relative Time (s),Stress Probability (%),Latency (ms)
2025-06-18 12:46:51.704,2.125,90.89,133.64
2025-06-18 12:46:51.799,2.220,82.37,44.25
2025-06-18 12:46:51.900,2.320,83.56,49.11
2025-06-18 12:46:52.006,2.426,87.90,54.71
2025-06-18 12:46:52.108,2.528,90.82,50.89
2025-06-18 12:46:52.202,2.622,85.42,42.40
2025-06-18 12:46:52.300,2.720,86.96,46.99
2025-06-18 12:46:52.395,2.815,92.18,43.55
2025-06-18 12:46:52.490,2.910,84.43,43.80
2025-06-18 12:46:52.594,3.014,87.51,53.41
2025-06-18 12:46:52.691,3.111,98.22,45.22
2025-06-18 12:46:52.786,3.206,84.80,43.94
2025-06-18 12:46:52.894,3.314,88.26,45.17
2025-06-18 12:46:52.988,3.408,79.35,43.03
2025-06-18 12:46:53.083,3.503,90.16,44.40
2025-06-18 12:46:53.179,3.599,84.91,44.70
2025-06-18 12:46:53.277,3.697,79.28,47.62
2025-06-18 12:46:53.377,3.798,88.81,48.57
2025-06-18 12:46:53.475,3.896,92.98,46.87
2025-06-18 12:46:53.575,3.995,91.73,48.14
2025-06-18 12:46:53.670,4.090,93.03,43.64
2025-06-18 12:46:53.764,4.184,84.92,43.16
2025-06-18 12:46:53.859,4.279,80.19,44.10
2025-06-18 12:46:53.955,4.375,80.99,45.20
2025-06-18 12:46:54.050,4.470,83.56,43.25
2025-06-18 12:46:54.149,4.569,85.69,47.71
2025-06-18 12:46:54.245,4.665,84.06,44.63
2025-06-18 12:46:54.349,4.769,87.26,48.31
2025-06-18 12:46:54.450,4.870,92.52,49.28
2025-06-18 12:46:54.554,4.974,94.42,53.80
2025-06-18 12:46:54.650,5.070,87.75,44.44
2025-06-18 12:46:54.746,5.166,84.29,44.33
2025-06-18 12:46:54.843,5.263,80.83,45.98
2025-06-18 12:46:54.938,5.359,96.56,44.70
2025-06-18 12:46:55.034,5.454,92.64,43.90
2025-06-18 12:46:55.129,5.550,78.25,45.16
2025-06-18 12:46:55.235,5.655,81.98,53.84
2025-06-18 12:46:55.330,5.750,82.62,44.36
2025-06-18 12:46:55.430,5.850,92.43,49.21
2025-06-18 12:46:55.524,5.944,98.52,43.31
2025-06-18 12:46:55.619,6.039,68.93,44.02
2025-06-18 12:46:55.716,6.136,82.96,46.75
2025-06-18 12:46:55.810,6.231,85.07,43.91
2025-06-18 12:46:55.924,6.344,81.51,62.66
2025-06-18 12:46:56.017,6.437,85.86,42.57
2025-06-18 12:46:56.125,6.546,88.27,56.87
2025-06-18 12:46:56.222,6.642,89.90,45.99
2025-06-18 12:46:56.327,6.747,87.93,54.12
2025-06-18 12:46:56.424,6.844,89.37,45.52
2025-06-18 12:46:56.522,6.942,92.03,46.95
2025-06-18 12:46:56.618,7.039,95.26,45.08
2025-06-18 12:46:56.713,7.133,88.51,44.22
2025-06-18 12:46:56.809,7.230,82.40,44.85
2025-06-18 12:46:56.903,7.323,84.34,43.14
2025-06-18 12:46:57.000,7.420,95.65,45.17
2025-06-18 12:46:57.095,7.515,84.27,43.41
2025-06-18 12:46:57.198,7.618,92.97,51.05
2025-06-18 12:46:57.292,7.712,91.71,43.58
2025-06-18 12:46:57.390,7.810,87.68,45.75
2025-06-18 12:46:57.483,7.903,80.78,42.40
2025-06-18 12:46:57.576,7.996,88.56,42.09
2025-06-18 12:46:57.674,8.094,82.32,46.14
2025-06-18 12:46:57.772,8.192,90.65,47.12
2025-06-18 12:46:57.873,8.293,86.56,48.88
2025-06-18 12:46:57.967,8.387,69.13,42.99
2025-06-18 12:46:58.066,8.487,83.29,48.55
2025-06-18 12:46:58.161,8.581,89.88,43.01
2025-06-18 12:46:58.258,8.678,88.65,45.39
2025-06-18 12:46:58.355,8.775,87.17,46.05
2025-06-18 12:46:58.452,8.872,87.56,45.86
2025-06-18 12:46:58.546,8.967,81.82,43.21
2025-06-18 12:46:58.645,9.065,83.43,46.90
2025-06-18 12:46:58.745,9.165,85.77,49.70
2025-06-18 12:46:58.841,9.261,87.74,44.69
2025-06-18 12:46:58.946,9.366,94.75,53.72
2025-06-18 12:46:59.042,9.462,86.88,45.09
2025-06-18 12:46:59.139,9.559,87.45,45.88
2025-06-18 12:46:59.234,9.654,94.81,43.42
2025-06-18 12:46:59.331,9.752,78.74,45.63
2025-06-18 12:46:59.426,9.846,79.89,43.10
2025-06-18 12:46:59.522,9.942,80.52,44.86
2025-06-18 12:46:59.630,10.050,87.34,56.59
2025-06-18 12:46:59.732,10.152,90.54,50.65
2025-06-18 12:46:59.840,10.260,85.63,55.78
2025-06-18 12:46:59.936,10.356,92.03,44.56
2025-06-18 12:47:00.038,10.458,91.21,51.51
2025-06-18 12:47:00.133,10.553,86.34,42.92
